Codigo da IES,Natureza,Situacao,DIAS,%,CI N,CI V,IGC_N,IGC_M,IGC_V,EAD_17,variacao mat,mat_T 2017,% FIES,CURSOS,saldo 2017,Variacao 17-16
1585,1,Ativa,823,0.518518518518519,4,3,2.4495,2.5963,,1,0.126550868486352,403,0.0,4,-3136409.9,-0.0905504303780201
1589,1,Extinta,6690,0.0,S/C,S/C,0,0,0,0,0.0,0,0.0,0,0.0,0.0
22021,1,Ativa,200,0.6,S/C,S/C,S/D,S/D,,0,0.0,0,0.0,0,0.0,0.0
218,0,Extinta,17022,0.153846153846154,2,2,1.2663,1.2663,1.2663,1,0.0379146919431279,844,0.0,7,897487.75,0.240652799905969
21788,0,Ativa,144,0.6,S/C,S/C,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
1508,1,Ativa,403,0.677165354330709,4,4,2.7079,2.7035,2.6683,1,-0.0027726432532347,2164,0.237985212569316,25,3361790.26,0.295509516749138
1736,0,Ativa,2478,0.853658536585366,4,4,2.6982,2.7627,2.7627,1,0.0391224862888482,2735,0.123217550274223,11,-1344558.45,-0.798450977595057
1677,1,Ativa,6607,0.481481481481481,3,S/C,2.4549,2.1738,2.3631,1,-0.245433789954338,876,0.0525114155251142,7,1146775.01,0.0295000163787453
18643,1,Ativa,770,0.205128205128205,S/C,S/C,S/D,S/D,S/D,1,0.0,124,0.0,4,202663687.69,0.0
3514,0,Ativa,6184,0.0769230769230769,3,2,2.0802683997399622,1.8936,1.8936,1,0.148760330578512,484,0.0,3,1546096.49,-1.76075330155559
4118,1,Ativa,493,0.681818181818182,4,4,2.483,2.4527,2.4527,1,-0.0297897196261683,3424,0.211156542056075,12,202663687.6,-0.287348747968078
10588,0,Ativa,3610,0.586956521739131,3,3,2.5842,2.477,,1,-0.207547169811321,477,0.0,4,557791.12,-1.00455383727587
22176,1,Ativa,88,1.0,S/C,S/C,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
739,0,Ativa,866,0.673076923076923,4,3,2.7727,2.6221,2.5421,1,-0.0015389350569405,3249,0.0483225607879347,25,7898905.05,-0.138274434389826
19257,1,Ativa,776,0.666666666666667,4,S/C,S/D,S/D,,1,0.0,89,0.101123595505618,3,-177302.570000001,0.0
138,0,Ativa,2917,0.666666666666667,4,3,2.7538,2.7002,2.7831,1,0.0382081686429512,4554,0.11133069828722,26,3917895.86,3.25866554455108
4901,1,Ativa,4155,0.652173913043478,5,3,2.505,2.536,2.6052,1,-0.045437042741625,2597,0.472468232576049,16,7714102.16,0.210204965818182
1334,1,Ativa,823,0.485714285714286,4,4,2.9694,2.9463,2.9463,1,0.0053151100987092,2634,0.345482156416097,7,67946547.63,0.666314142108072
13488,0,Ativa,2833,0.394736842105263,3,4,2.4539,2.8399,3.212,1,-0.162995594713656,454,0.0616740088105727,5,21500.0,0.0
371,1,Ativa,20242,0.166666666666667,3,S/C,1.8289,0.9329,0.9329,1,1.21649484536082,97,0.628865979381443,1,240437538.34,453.067159006826
1518,1,Ativa,2478,0.690476190476191,3,3,2.2232,2.3302,2.1561,1,0.09783728115345,971,0.307929969104017,7,1052726759.1,0.189707637063632
140,0,Ativa,18386,0.612403100775194,4,3,2.7695,2.6035,2.4037,1,-0.0164454702827467,3466,0.34131563762262,17,48424627.04,1.67149915839481
1675,0,Ativa,6604,0.388349514563107,3,4,1.9541,1.9807,1.9569,1,0.0724233983286908,2513,0.187823318742539,20,5475530.87,-1.07322532576975
1873,0,Ativa,6346,0.5,S/C,S/C,3.3464,2.9467,2.9467,1,0.944852941176471,272,0.0,3,-60.0,0.2
2180,1,Ativa,6188,0.6,3,3,2.3724,2.3724,0,1,0.143106457242583,573,0.0034904013961605,5,285434.0,-0.664776935746776
4443,1,Ativa,4402,0.382352941176471,3,3,2.3128,2.3128,2.3128,1,0.330578512396694,121,0.0661157024793388,7,-102933.66,-1.40569125214854
1423,1,Ativa,2840,0.55,4,3,2.8024,2.2218,2.2218,1,-0.142857142857143,2800,0.246428571428571,20,15863267.6,4.03386810153349
432,0,Ativa,2413,0.789473684210526,4,4,2.4093,2.4182,2.4182,1,0.125,520,0.367307692307692,4,-273854.11,-0.213501578817104
4594,0,Ativa,1490,0.375,4,S/C,2.5701,2.5665,2.5665,1,0.127340823970038,534,0.101123595505618,2,549122.189999999,-1.45470731745904
1977,1,Ativa,6292,0.266666666666667,S/C,S/C,1.9293,1.9293,1.9293,1,-0.0017152658662092,583,0.0,1,1110271.6,0.337980187582212
165,1,Ativa,2478,0.817204301075269,5,4,2.9523,2.8542,2.8628,1,0.0140059741121805,30130,0.236873547958845,87,322335838.98,0.100938746938588
268,1,Extinta,17895,0.4,S/C,S/C,1.994760421838616,2.1227,,1,0.0484496124031009,516,0.0271317829457364,1,3559073.32,-0.253130291444304
18132,1,Ativa,808,0.833333333333333,4,S/C,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
22197,1,Ativa,382,0.5,S/D,S/D,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
2770,1,Ativa,5352,0.455882352941176,3,S/C,3.533,3.5365733739561667,3.429,1,-0.0973691347979387,3687,0.134797938703553,10,9590480.11,0.146200453030495
4496,1,Ativa,5032,0.48,3,3,1.8501,1.8501,1.8501,1,-0.660944206008584,233,0.0,5,4022651.61,-0.0940554465514276
440,1,Ativa,2138,0.391304347826087,3,3,2.148,2.148,2.2120082838854827,1,-0.137395459976105,837,0.162485065710872,3,3693160.41,-2.34880387390353
18463,1,Ativa,845,0.363636363636364,S/C,S/C,S/D,S/D,S/D,1,0.0,21,0.0,0,1446.0,0.0
3368,0,Ativa,460,0.846153846153846,4,3,3.2478,3.0272,2.9379,1,-0.0476936856247201,4466,0.290864308105687,45,9822766.67000001,-1.91113255589959
2307,0,Extinta,5733,0.0,4,S/C,2.49,0,0,0,0.0,0,0.0,2,0.0,0.0
4220,0,Ativa,5379,0.0,2,S/C,1.05,1.05,1.0383264070654785,0,0.0,0,0.0,0,0.0,0.0
991,0,Ativa,2917,0.675675675675676,4,4,2.3743,2.1443004359741678,,1,0.684397163120567,564,0.0,9,8158024.0,0.0
1881,1,Ativa,340,0.451612903225806,3,3,2.5261,2.5353,2.5353,1,-0.241899020346647,1327,0.0768651092690279,9,668036.09,0.0
343,1,Ativa,980,0.599250936329588,4,4,2.6743,2.6518,2.5859,1,0.0675746464117339,11454,0.395233106338397,39,36320396.23,-0.350821557759714
1099,0,Ativa,531,0.461538461538462,3,S/C,2.202,2.202,2.202,1,1.25,116,0.672413793103448,3,240437538.34,58.6427801393192
14401,1,Ativa,805,0.607142857142857,3,3,1.8067,1.8067,1.8067,1,0.565789473684211,152,0.0,7,-61485.5900000001,-0.623774448689685
4943,0,Ativa,823,0.666666666666667,4,S/C,3.8777,3.8777,,1,-0.141975308641975,162,0.0679012345679012,1,2787363.77,0.09977477590062
19586,1,Ativa,805,0.7,S/C,S/C,S/D,S/D,S/D,0,0.0,0,0.0,-1,0.0,0.0
15839,1,Ativa,2082,0.528301886792453,4,3,S/D,S/D,S/D,1,-0.504115226337449,486,0.0596707818930041,8,-4593066.47,0.0082458431614762
18637,0,Ativa,1007,0.25,S/C,S/C,S/D,S/D,S/D,1,0.0,77,0.0,2,-7065.1399999997,0.0
1487,1,Ativa,516,0.699029126213592,5,4,2.4693,2.4801,2.5032,1,0.375698324022346,1432,0.394553072625698,14,-4072330.31,2.10481229770914
4068,1,Ativa,5227,0.41025641025641,4,S/C,3.5011,2.9568,2.9568,1,-0.342857142857143,735,0.247619047619048,9,9785953.50000002,-0.904536896149302
940,0,Ativa,8651,0.567567567567568,3,S/C,2.4458,2.6625,2.6892141709594086,1,0.0336879432624113,564,0.0,8,642381.89,7.10307661553803
4836,0,Ativa,3750,0.125,3,S/C,1.6035572740757917,1.9185,1.9185,1,-0.325842696629214,89,0.0,1,21233.62,-1.0217568488746
2572,1,Ativa,6213,0.222222222222222,2,S/C,1.6712,1.4443,1.4070565686570233,1,0.102376599634369,547,0.0,4,553182.49,-0.0445149562064991
3310,0,Extinta,5967,0.727272727272727,5,S/C,1.96,1.96,1.91,0,0.0,0,0.0,0,0.0,0.0
822,1,Extinta,10729,0.0,S/C,S/C,1.9286,1.9286,1.8,0,0.0,0,0.0,0,0.0,0.0
17670,1,Ativa,1328,0.291666666666667,S/C,S/C,S/D,S/D,S/D,1,-0.75,428,0.0397196261682243,3,494406.64,1.36154853818305
2753,1,Ativa,2568,0.366666666666667,3,S/C,2.3062,1.7549,1.7549,1,-0.386266094420601,466,0.231759656652361,5,805572.0,-0.11159207753898
403,0,Ativa,2530,0.820224719101124,3,4,2.9708,2.8126,2.8215,1,0.186836518046709,10362,0.248697162709902,60,92247401.87,-0.41431054116227
4422,1,Extinta,5075,0.0,S/D,S/D,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
1049,0,Ativa,7791,0.679245283018868,4,S/C,2.7589,2.8961,2.8961,1,0.213910761154856,1524,0.368766404199475,14,7230561.4,0.403131707299208
2879,0,Ativa,5162,0.380952380952381,3,S/C,1.9427,1.6303,1.5907340636359506,1,0.455882352941176,408,0.512254901960784,3,240437538.34,20.693237055463
527,0,Ativa,2048,0.741071428571429,4,3,2.5824,2.3965,2.3714,1,0.0858113848768054,23540,0.447833474936279,43,82386439.23,-0.459237704931159
4959,1,Ativa,866,0.425925925925926,3,4,2.399,2.2086,2.0794974473016996,1,0.164571428571429,875,0.369142857142857,6,1424655882.17,-289.732289746787
192,0,Ativa,18662,0.568181818181818,4,3,2.0798875622106054,2.331,2.331,1,-0.0518518518518518,405,0.0,12,25966522.26,0.088425619906034
3204,1,Ativa,4785,0.382978723404255,3,3,2.6081,2.6081,2.2216,1,-0.172149122807018,912,0.462719298245614,10,2133892.73,-0.766304491500907
353,0,Ativa,952,0.6,4,4,2.9532,2.7182,2.0361,1,-0.0148849797023004,739,0.23680649526387,1,17321286.95,0.0927652692110621
2622,0,Extinta,5240,0.583333333333333,3,S/C,2.8109,2.8109,2.8109,0,0.0,0,0.0,0,0.0,0.0
1804,0,Ativa,668,0.394736842105263,3,4,2.2319,2.2704,2.1504,1,-0.0285714285714286,1785,0.148459383753501,10,240437538.34,7.04169505262232
1463,0,Ativa,6983,0.1,3,5,2.3364,2.3364,2.3364,1,0.128205128205128,195,0.302564102564103,2,240437538.34,195.934469976262
1275,1,Ativa,7398,0.377049180327869,3,3,1.7441810342202577,1.9815,1.9815,1,-0.0717241379310345,725,0.313103448275862,6,240437538.34,0.0886639122336301
1800,0,Ativa,2568,0.416666666666667,3,S/C,2.8579,2.8579,2.8579,1,-0.0517928286852589,251,0.0079681274900398,2,53986.1599999999,-1.8629411618965
2413,1,Ativa,626,0.53030303030303,3,3,2.4372,2.4372,2.6769,1,-0.0926856504745952,1791,0.242322724734785,10,4873062.27,-3.51433770576885
640,1,Ativa,88,0.647058823529412,3,3,2.0524,2.1425,2.1533,1,-0.0550373134328358,1072,0.0,5,-3568278.16,-0.0352483461283026
1503,0,Ativa,6969,0.253968253968254,3,3,2.3465,2.5236,2.5236,1,0.0120967741935485,496,0.0,4,577157.23,-2.82834933943926
21992,1,Ativa,350,1.0,S/C,S/C,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
395,0,Extinta,17107,0.5,S/C,S/C,1.4,1.4,0,0,0.0,0,0.0,0,0.0,0.0
2324,1,Ativa,439,0.643835616438356,4,4,2.0246,1.9993,1.9661,1,-0.174245472837022,2485,0.167404426559356,12,1052726759.1,0.189707637063632
708,0,Extinta,13919,0.0714285714285714,S/C,S/C,0,0,0,0,0.0,0,0.0,0,0.0,0.0
1766,0,Ativa,6489,0.428571428571429,3,S/C,2.993,2.5684,2.5684,1,-0.0874035989717223,389,0.0,3,1120723.0,-0.362049933749936
2426,1,Ativa,2568,0.606060606060606,3,S/C,2.9474,2.791284884821173,2.8583,1,-0.143282692880548,3357,0.19124218051832,13,2612817.49,13.7790922194139
1139,1,Ativa,7592,0.435897435897436,3,3,1.9431,1.9431,,1,0.35338785046729,1712,0.213200934579439,8,-4762031.69,0.0395391269186067
3797,1,Ativa,2421,0.785714285714286,4,3,2.7936,2.456999920435931,2.5304,1,0.0560378847671665,2534,0.428176795580111,15,4771026.13,0.470450900323727
16781,0,Ativa,5341,0.142857142857143,1,S/C,S/D,S/D,S/D,1,1.92307692307692,13,0.0,2,0.0,0.0
2297,1,Ativa,168,0.555555555555556,4,3,2.1138,2.1138,2.1138,1,0.0536692223439212,913,0.593647316538883,2,7503031.32,0.146355070084278
1446,1,Ativa,53,0.647798742138365,3,3,2.3132,2.4977,2.4791,1,-0.050008804366966,11358,0.161119915478077,29,79979200.99,0.580656272024224
19736,1,Ativa,458,0.833333333333333,3,S/C,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
4714,1,Ativa,3882,0.296296296296296,3,S/C,1.8552,1.5526,1.5526,1,-0.399425287356322,348,0.0,2,1348227.28,3.73984883608433
952,0,Ativa,2196,0.790575916230367,4,S/C,3.046,2.9281,0.6891261797798216,1,0.157859230942208,8894,0.102316168203283,39,32992551.89,-2.81574672516851
19214,1,Ativa,635,0.166666666666667,3,S/C,S/D,S/D,,0,0.0,0,0.0,0,0.0,0.0
3177,0,Ativa,70,0.571428571428571,3,3,2.2918,2.2918,,0,0.0,0,0.0,0,0.0,0.0
19172,1,Ativa,808,0.692307692307692,4,S/C,S/D,S/D,S/D,1,0.0,209,0.0909090909090909,4,36895.9199999999,0.0
2566,1,Ativa,1081,0.592592592592593,3,3,2.1645,2.1739724066577,2.1645,1,-0.254545454545455,385,0.348051948051948,3,-3687146.48,-0.562116496032132
15873,1,Ativa,2082,0.470588235294118,3,3,2.2029,0,0,1,-0.363095238095238,168,0.0416666666666667,2,-368204.75,1.76064504012431
5668,1,Ativa,2411,0.735632183908046,4,3,2.6458,2.6077,2.6077,1,-0.107359635811836,2636,0.132397572078907,23,1052726759.1,0.189707637063632
1540,0,Ativa,860,0.378378378378378,3,2,2.4784,2.4784,2.4794,1,0.10547263681592,1005,0.29452736318408,7,839683.98,0.0
19256,1,Ativa,488,0.8,4,S/C,S/D,S/D,S/D,0,0.0,0,0.0,2,0.0,0.0
4175,1,Extinta,4238,0.111111111111111,3,3,S/D,S/D,S/D,0,0.0,0,0.0,1,0.0,0.0
1817,1,Ativa,704,0.571428571428571,3,S/C,2.614,2.5067,2.5067,1,-0.012589928057554,2780,0.212589928057554,8,956133983.28,0.170065307780164
1878,0,Ativa,2338,0.84,S/C,S/C,3.1695,3.0746,9.086917739607793,1,0.0700971383565241,7618,0.118141244421108,14,198965600.24,1.96147564758536
3193,1,Ativa,5984,0.536912751677852,4,3,1.9403,1.8866,2.068,1,0.0743661971830987,3550,0.212676056338028,18,28313237.59,-0.0214560443786406
12754,0,Ativa,906,0.625,3,4,2.5058,2.5058,2.5058,1,0.096774193548387,93,0.0,1,75000.0,0.0
2484,0,Ativa,2338,0.655172413793103,3,S/C,2.2081,2.2081,2.2081,1,-0.0978939157566303,2564,0.0366614664586583,9,2444843.61,3.24918465350272
20465,1,Ativa,805,0.25,S/C,S/C,S/D,S/D,S/D,1,0.0,37,0.0,0,-652301.62,0.0
21344,0,Ativa,493,0.5,S/C,S/C,S/D,S/D,S/D,0,0.0,0,0.0,-1,0.0,0.0
1229,0,Extinta,7349,0.0,S/C,S/C,0.93,0.93,0,0,0.0,0,0.0,0,0.0,0.0
2244,1,Ativa,5964,0.573333333333333,3,3,1.9211,1.7554,1.8085,1,-0.0851063829787234,1927,0.365334717176959,4,1240490454.3,0.305633398440824
3691,0,Ativa,5648,0.0,4,2,0,0.027981374309080417,1.36,0,0.0,0,0.0,0,0.0,0.0
1291,1,Ativa,7334,0.348837209302326,4,3,2.4743,2.3648,2.3648,1,-0.144508670520231,865,0.105202312138728,4,240437538.34,21.5191536633014
4101,0,Ativa,5199,0.666666666666667,4,4,2.6089,2.3135,2.3135,1,-0.166666666666667,264,0.053030303030303,3,184725.12,0.0
453,0,Ativa,920,0.679611650485437,3,S/C,2.8896,2.8403,,1,0.0645829735796926,5791,0.389570022448627,23,293082128.99,1.2724538419328
18958,1,Ativa,539,0.272727272727273,4,S/C,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
17322,0,Ativa,2940,0.0526315789473684,3,S/C,0.9114,0.9114,0.9114,1,-0.182572614107884,241,0.0,3,177000.0,-0.559722474206455
13648,1,Ativa,2338,0.555555555555556,3,3,S/D,S/D,S/D,1,-0.0714285714285714,84,0.0,2,215269.26,-0.718096687100529
19465,1,Ativa,1007,0.272727272727273,3,S/C,S/D,S/D,S/D,1,0.0,16,0.0,3,-128578.42,0.0
16245,1,Ativa,1007,0.230769230769231,3,4,S/D,S/D,S/D,1,0.0,36,0.0,2,108737.96,0.0
2183,0,Ativa,19396,0.585365853658537,3,S/C,2.168,2.0925,2.0925,1,0.272852866682017,4343,0.163481464425512,27,-29664520.47,0.991370531350149
3757,1,Ativa,1328,0.696969696969697,4,S/C,2.1149,2.0857,1.8198,1,-0.105263157894737,741,0.148448043184885,9,951595.19,-0.581849973669525
861,1,Ativa,768,0.628571428571429,3,3,2.2544,2.24156490571909,2.1948,1,-0.109866281170943,2767,0.298156848572461,7,8159643.05,1.4413335814319
832,0,Ativa,1106,0.8,3,3,2.2608,2.2608,2.2608,1,-0.0067114093959731,745,0.487248322147651,3,2656056.74,0.169695272794705
647,0,Extinta,2888,0.25,3,S/C,2.0156,1.7991,1.7991,0,0.0,0,0.0,0,0.0,0.0
19321,1,Ativa,439,0.333333333333333,3,S/C,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
18319,1,Ativa,693,0.25,S/C,S/C,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
21431,1,Ativa,439,0.181818181818182,4,S/C,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
19512,1,Ativa,823,0.442307692307692,5,4,2.8226,2.954329842006109,2.6997,1,-0.0579655946148093,2674,0.12565445026178,14,19740521.61,3.11516940444891
18642,1,Ativa,768,0.333333333333333,S/C,S/C,S/D,S/D,S/D,1,0.0,61,0.0,2,202663687.6,0.0
831,1,Ativa,1351,0.166666666666667,3,S/C,1.935,1.935,1.935,1,0.229508196721312,122,0.0081967213114754,1,-322914.06,5.12557726228711
21892,0,Ativa,334,1.0,S/C,S/C,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
1075,1,Ativa,1663,0.435483870967742,5,3,2.6606,2.6403,2.5828,1,-0.224807856532878,4684,0.3266438941076,15,1344022.0,-0.289008610678003
14121,0,Ativa,612,0.625,3,2,0,0,0.054242995315182764,1,-0.0208333333333334,48,0.0,1,14339.21,7.23471497205164
682,1,Ativa,11785,0.65,4,3,2.6589,1.75,1.6257,1,0.0681153363978271,2393,0.255328040117008,16,1521321.34,-1.09194674835917
768,0,Extinta,11332,0.0,S/C,S/C,1.64,1.64,1.64,0,0.0,0,0.0,0,0.0,0.0
420,1,Ativa,11318,0.724137931034483,3,3,2.7443621052405116,2.9745,2.9386,1,0.0148032723022984,5134,0.34690299961044,23,11803564.37,-0.816634492808817
4982,1,Ativa,4007,0.08,3,2,1.6252,1.6252,1.6252,1,0.03125,32,0.0,-1,-33404.1,-0.37868793981476
5388,1,Ativa,734,0.538461538461538,3,S/C,0,2.281894059209344,2.16,0,0.0,0,0.0,0,0.0,0.0
14209,0,Ativa,6235,0.25,3,2,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
20096,1,Ativa,350,1.0,3,S/C,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
779,1,Ativa,11094,0.25,3,S/C,2.3488,2.5728,2.5728,1,-0.0961538461538462,52,0.115384615384615,5,240437538.44,89.7911869340364
2328,0,Ativa,1106,0.666666666666667,3,S/C,2.3812,2.3812,2.3812,1,0.0757894736842106,475,0.231578947368421,3,2757759.48,0.111960268324201
255,0,Ativa,17169,0.2,S/C,S/C,1.2207,2.34,2.34,1,0.219047619047619,105,0.0,1,49480.53,0.0
12594,1,Extinta,3367,0.6,S/C,S/C,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
2904,1,Ativa,4994,0.226415094339623,2,3,7.173897172640041,2.8315,2.8315,1,0.0159151193633953,377,0.0610079575596817,1,181776.04,4.09998072711268
4100,0,Ativa,5199,0.363636363636364,4,4,2.2826,2.2826,,1,0.486111111111111,144,0.0833333333333333,1,353511.96,0.0
3603,1,Ativa,1377,0.67175572519084,3,S/C,2.5202,2.4719,2.4859,1,0.0099152406844713,6253,0.224052454821686,28,1052726759.1,0.189707637063632
624,0,Ativa,17449,0.0909090909090909,3,S/C,0,0,1.47,0,0.0,0,0.0,0,0.0,0.0
4094,1,Ativa,5199,0.75,3,3,2.8384,3.2738,3.404161519668772,1,0.194986072423398,718,0.125348189415042,7,2511687.36,-0.409259216430472
17680,0,Ativa,808,0.714285714285714,4,S/C,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
15357,0,Ativa,1005,0.67741935483871,3,3,2.1703,2.1408,2.0354,1,-0.1,1430,0.0195804195804196,10,908827.57,0.012679272898358
2457,1,Extinta,5698,0.0,S/C,S/C,0,0,0,0,0.0,0,0.0,0,0.0,0.0
22129,1,Ativa,224,1.0,S/C,S/C,S/D,S/D,,0,0.0,0,0.0,0,0.0,0.0
5599,0,Ativa,885,0.727272727272727,3,S/C,2.5715,2.608,,1,0.0114068441064639,526,0.389733840304183,6,0.0,-1.0
5048,0,Ativa,1160,0.333333333333333,3,S/C,2.9735,2.9735,2.9735,1,0.0806451612903225,62,0.0,1,10102.76,0.0
14342,0,Ativa,2660,0.689655172413793,4,3,3.0016,3.0913,3.5039,1,0.163873370577281,537,0.245810055865922,9,49839509.88,0.818209664635394
14738,0,Ativa,866,0.166666666666667,3,S/C,S/D,S/D,S/D,1,0.0,7,0.0,4,-530932.55,0.0
176,0,Ativa,8879,0.661818181818182,4,3,2.5132,2.4242,2.175,1,-0.320063977252532,11254,0.0201706060067532,68,61701774.12,2.30940923914563
767,0,Ativa,11277,0.0,S/D,S/D,S/D,S/D,,0,0.0,0,0.0,0,0.0,0.0
17269,0,Ativa,1995,0.666666666666667,3,S/C,S/D,S/D,S/D,1,0.0,45,0.0,1,0.0,0.0
17889,1,Ativa,823,0.666666666666667,3,S/C,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
17115,1,Ativa,1390,0.4375,3,3,S/D,S/D,S/D,1,-0.133333333333333,30,0.0666666666666667,2,-75592.49,1.99254869452801
3784,1,Ativa,664,0.761904761904762,3,3,1.8101,1.8101,1.9991,1,0.181818181818182,209,0.406698564593301,3,1240490454.3,0.305633398440824
1877,1,Extinta,6338,0.172413793103448,3,S/C,1.4568,1.4568,1.4568,0,0.0,0,0.0,0,0.0,0.0
18290,1,Ativa,852,1.0,S/C,S/C,S/D,S/D,S/D,1,0.0,25,0.08,1,118787633.38,0.0
1157,0,Ativa,980,0.75,3,3,1.9365,1.974,2.2783,1,-0.0250347705146036,719,0.367176634214186,8,-201859.660000002,-1.07269781196839
4148,0,Ativa,5103,0.4,3,S/C,0,3.0941,3.0941,0,0.0,0,0.0,0,0.0,0.0
1898,1,Ativa,2751,0.377358490566038,3,3,3.1302,2.8593,2.6737,1,0.15356820234869,1107,0.025293586269196,7,5415931.93,2.22935154481328
3760,0,Extinta,4865,0.611111111111111,3,2,1.8084,1.8084,1.8084,1,0.307936507936508,315,0.19047619047619,3,221430962.0,-0.207799979634436
11007,1,Extinta,3699,0.421052631578947,3,0,2.9307,2.9307,3.0535,1,0.2,125,0.008,4,-23319.6899999999,-2.05640381988482
2380,1,Ativa,616,0.645161290322581,3,3,2.7588,2.7945,2.7945,1,0.089310829817159,2844,0.441279887482419,6,883811672.09,0.0606649985333643
1156,0,Ativa,522,0.695652173913044,3,3,2.3889,2.676,2.676,1,0.287937743190662,257,0.22568093385214,3,221430962.0,-0.207799979634436
5370,0,Ativa,5971,0.619047619047619,4,3,2.5244,2.4825,2.5,1,0.0047961630695443,2085,0.367865707434053,12,71109811.4,0.929221804390077
18711,1,Ativa,628,0.285714285714286,4,S/C,S/D,S/D,S/D,0,0.0,0,0.0,1,0.0,0.0
4773,1,Ativa,4065,0.388888888888889,4,3,2.5458,2.5785,2.5785,1,0.126373626373626,182,0.17032967032967,2,-999910.83,6.10383191979319
5520,1,Ativa,976,0.549019607843137,3,3,2.946045052780175,2.9693,3.1179,1,-0.0250666666666667,1875,0.336533333333333,8,6412573.95,-0.292193551577188
3823,1,Ativa,977,0.333333333333333,4,4,2.5777,2.5777,2.5777,1,-0.11,200,0.08,2,438278.83,0.119659969695753
4028,1,Ativa,1005,0.6,3,3,2.021,2.1808,2.1808,1,0.104225352112676,355,0.0112676056338028,3,240437538.34,29.7685748507329
4371,1,Ativa,4130,0.75,3,5,0,0,0,0,0.0,0,0.0,0,0.0,0.0
3226,1,Ativa,6318,0.0,S/C,S/C,0,0,0,0,0.0,0,0.0,0,0.0,0.0
22075,1,Ativa,28,0.5,4,S/C,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
2750,0,Ativa,6125,0.0,1,3,0,0,1.33,0,0.0,0,0.0,0,0.0,0.0
1034,0,Extinta,7717,0.171428571428571,3,3,1.4464,1.693,1.8075,0,0.0,0,0.0,0,0.0,0.0
1909,0,Ativa,563,0.4,3,2,2.5792,2.8671,2.8671,1,0.577114427860697,201,0.0099502487562189,3,71109811.4,-16.9794230047889
19865,1,Ativa,805,0.631578947368421,S/C,S/C,S/D,S/D,,1,0.0,452,0.0884955752212389,5,4269892.52,0.0
3216,0,Ativa,5956,0.0344827586206897,2,S/C,S/D,S/D,S/D,1,0.125,8,0.0,1,85829.0,-0.870666578225459
